date,deathcause,Tm,rh,SDSexposure,dow,time
2013/2/1,1,-1.03,41.25,1,5,1
2013/2/2,1,-0.9,40.96,1,6,2
2013/2/3,0,-1.78,84.53,0,0,3
2013/2/4,3,-1.7,46.7,0,1,4
2013/2/5,2,-3.14,76.34,0,2,5
2013/2/6,1,-3.16,44.93,0,3,6
2013/2/7,0,-7.19,25.19,0,4,7
2013/2/8,2,-5.79,32.71,2,5,8
2013/2/9,0,-3.31,43.2,2,6,9
2013/2/10,1,-2.93,48.62,2,0,10
2013/2/11,1,-2.98,65.28,2,1,11
2013/2/12,1,-0.9,32.86,2,2,12
2013/2/13,1,0.85,35.03,2,3,13
2013/2/14,1,-1.11,55.9,2,4,14
2013/2/15,1,-1.39,54.64,2,5,15
2013/2/16,3,-0.38,74.09,2,6,16
2013/2/17,2,0.97,48.59,2,0,17
2013/2/18,0,-1.34,46.01,0,1,18
2013/2/19,1,-2.36,49.3,0,2,19
2013/2/20,0,-0.14,67.86,2,3,20
2013/2/21,0,1.21,64.28,2,4,21
2013/2/22,1,0.51,43.61,2,5,22
2013/2/23,0,3.33,59.13,2,6,23
2013/2/24,1,3.08,72.85,2,0,24
2013/2/25,0,-0.11,81.18,2,1,25
2013/2/26,0,2.53,78.46,2,2,26
2013/2/27,1,5.5,72,2,3,27
2013/2/28,0,4.46,33.83,2,4,28
2013/3/1,0,0.51,39.38,0,5,29
2013/3/2,1,0.59,54.5,2,6,30
2013/3/3,0,6.55,37.26,2,0,31
2013/3/4,1,5.83,47.29,0,1,32
2013/3/5,1,8.2,62.73,2,2,33
2013/3/6,1,6.91,71.26,2,3,34
2013/3/7,2,11.02,53.1,2,4,35
2013/3/8,1,11.61,56.82,1,5,36
2013/3/9,1,6.54,31.15,1,6,37
2013/3/10,2,3.95,39.56,0,0,38
2013/3/11,1,7.1,49.31,2,1,39
2013/3/12,0,5.58,75.29,2,2,40
2013/3/13,1,3.38,48.38,2,3,41
2013/3/14,2,5.27,57.4,2,4,42
